log hfd,log mmb,log abt
0.59217676,0.75365965,0.71650416
0.59944638,0.75388933,0.71708772
0.59966478,0.75419539,0.71916549
0.61500261,0.75450123,0.72032472
0.61878002,0.75526489,0.72222246
0.62221402,0.75534118,0.72337357
0.62252486,0.75534118,0.72345567
0.62407573,0.75656004,0.72361984
0.62675085,0.75716819,0.72631961
0.62818451,0.75747195,0.72672721
0.62900162,0.75762375,0.72754126
0.6294096,0.75823041,0.72859724
0.63316535,0.75898755,0.72932681
0.63508144,0.75936562,0.7298934
0.64058081,0.76012079,0.73037847
0.64295888,0.76064862,0.73045926
0.64561874,0.76102525,0.73142759
0.64875021,0.76230336,0.73191094
0.64991872,0.76237843,0.73223288
0.65001595,0.76267856,0.73247418
0.65782046,0.76342799,0.73367866
0.66679868,0.76357772,0.73391915
0.6690378,0.76514679,0.73479983
0.6690378,0.76529593,0.73495976
0.67412598,0.76544502,0.73503971
0.67879143,0.76574304,0.73591812
0.68484536,0.76708162,0.7363965
0.69116993,0.76767522,0.73719264
0.69161187,0.76774937,0.7373517
0.69679309,0.76789762,0.7373517
0.69749089,0.76826802,0.73814609
0.70079022,0.77018902,0.73957234
0.70122248,0.77055747,0.74099393
0.70165432,0.77063113,0.74099393
0.70397883,0.77085201,0.74193908
0.70808081,0.77114635,0.74248946
0.71499997,0.77151399,0.74296067
0.71508367,0.77158748,0.74319608
0.71516736,0.77166096,0.74421472
0.71933129,0.77188132,0.74437123
0.72875948,0.77202817,0.74468406
0.72884057,0.77210157,0.74507479
0.7297316,0.77217496,0.74530906
0.73439974,0.7724684,0.74624487
0.73790792,0.77305469,0.74717867
0.74303915,0.77349389,0.74756716
0.74350976,0.7740788,0.74795531
0.74437123,0.77437096,0.7483431
0.74624487,0.77466292,0.75058553
0.75012253,0.77539197,0.75081684
0.75381278,0.77553763,0.75227899
0.76140156,0.77561045,0.75258618
0.7646244,0.77561045,0.75381278
0.776919,0.77561045,0.75434834
0.77771674,0.77582881,0.75549373
0.77815125,0.77633791,0.75556998
0.79098848,0.77641059,0.75617952
0.79685175,0.7767738,0.75617952
0.79809793,0.77793405,0.75633177
0.79816706,0.77815125,0.75800301
0.8013351,0.77815125,0.75830618
0.80147231,0.77815125,0.75845769
0.80208926,0.77815125,0.75845769
0.80454831,0.77851301,0.75853342
0.80577263,0.77952434,0.75876054
0.80989625,0.77981286,0.75921443
0.81144094,0.77988496,0.75974337
0.81544492,0.78031731,0.76004533
0.81736702,0.78060531,0.76147678
0.81743314,0.78082118,0.76260355
0.81835788,0.78082118,0.76290353
0.82105476,0.78139631,0.7632033
0.82386531,0.78153997,0.76342799
0.833657,0.78211415,0.76395183
0.83569057,0.78232927,0.76402661
0.83619748,0.78326023,0.76402661
0.83872319,0.78383214,0.76425088
0.83947805,0.78411782,0.76440032
0.84135947,0.78411782,0.76589198
0.84229713,0.78433195,0.76596642
0.84354421,0.78540102,0.76604086
0.84646083,0.78568567,0.76648721
0.84676995,0.78639646,0.76648721
0.85021724,0.78653848,0.76700736
0.85125835,0.78696426,0.76774937
0.85308953,0.78731876,0.7678235
0.85931847,0.78795612,0.76886
0.86063742,0.78795612,0.76900787
0.86362022,0.78802688,0.76922958
0.86373911,0.78873386,0.76945118
0.86628734,0.78880449,0.77107278
0.86905562,0.78894573,0.77400573
0.86911433,0.78915749,0.77546481
0.86975959,0.78922806,0.7767738
0.87198135,0.78936915,0.7767738
0.87244765,0.78943968,0.77684641
0.87256414,0.7895102,0.77728179
0.87372738,0.79035555,0.77786162
0.8741918,0.7908479,0.77836834
0.87482958,0.7909182,0.77851301
0.87857924,0.79162048,0.78125259
0.87880893,0.79162048,0.78125259
0.88252454,0.7921815,0.78297399
0.88263836,0.79281177,0.78404642
0.88462546,0.79302166,0.78411782
0.88541777,0.79316153,0.78454597
0.88586986,0.79406958,0.78461729
0.88846032,0.79413936,0.78475989
0.8885726,0.7943486,0.78497371
0.89237291,0.79441833,0.7851162
0.89276223,0.79448805,0.78795612
0.89381722,0.79455775,0.7882391
0.89625056,0.79483646,0.78845121
0.89867034,0.79532376,0.79014437
0.90107672,0.79532376,0.7919712
0.90118578,0.79601897,0.7921815
0.90134933,0.79699039,0.79365072
0.90254678,0.79712899,0.79448805
0.90401188,0.79768293,0.79532376
0.90520203,0.79830528,0.79657433
0.90568797,0.79878871,0.79705969
0.90622726,0.79934055,0.79795964
0.90660437,0.7994784,0.79830528
0.90719631,0.7994784,0.79858159
0.90864584,0.79954731,0.79865065
0.91041094,0.7996162,0.7996162
0.9106244,0.79968509,0.79968509
0.91248776,0.80009818,0.79975397
0.9127533,0.80030458,0.80023579
0.91481898,0.80051088,0.80085449
0.91487182,0.80215775,0.80119783
0.91803034,0.80229471,0.8013351
0.91813523,0.80277373,0.80167806
0.91986225,0.80311555,0.8025685
0.92033207,0.80325221,0.80366192
0.92069713,0.80420761,0.80386663
0.92121812,0.80454831,0.80468451
0.92189447,0.80502484,0.80699351
0.92225822,0.80577263,0.80821097
0.92241402,0.80692578,0.80834604
0.92303667,0.80712896,0.80848106
0.92376196,0.80726436,0.80868351
0.92427929,0.80773792,0.80875097
0.92716497,0.80787313,0.80908813
0.92716497,0.8080083,0.8092903
0.92731902,0.8089533,0.81103851
0.92747302,0.80935767,0.81177602
0.92798595,0.80949238,0.81231161
0.92813971,0.80969436,0.81264602
0.92880537,0.80976167,0.81277971
